DATE,DEUIMPORTQDSNAQ
1991-01-01,100240200000.0
1991-04-01,100775700000.0
1991-07-01,101876600000.0
1991-10-01,101876600000.0
1992-01-01,105446900000.0
1992-04-01,102590500000.0
1992-07-01,102293000000.0
1992-10-01,103661700000.0
1993-01-01,95264300000.0
1993-04-01,95978300000.0
1993-07-01,97376700000.0
1993-10-01,97555200000.0
1994-01-01,99511700000.0
1994-04-01,103974100000.0
1994-07-01,106324300000.0
1994-10-01,108258000000.0
1995-01-01,108905000000.0
1995-04-01,112118500000.0
1995-07-01,113070700000.0
1995-10-01,114141900000.0
1996-01-01,114565700000.0
1996-04-01,115458200000.0
1996-07-01,116440000000.0
1996-10-01,120813100000.0
1997-01-01,124391000000.0
1997-04-01,125432300000.0
1997-07-01,129597500000.0
1997-10-01,131293400000.0
1998-01-01,136321400000.0
1998-04-01,139534500000.0
1998-07-01,140427100000.0
1998-10-01,139980800000.0
1999-01-01,145901400000.0
1999-04-01,150215300000.0
1999-07-01,153904500000.0
1999-10-01,154083000000.0
2000-01-01,159438300000.0
2000-04-01,164406800000.0
2000-07-01,169762100000.0
2000-10-01,178657800000.0
2001-01-01,171933900000.0
2001-04-01,172290900000.0
2001-07-01,168720800000.0
2001-10-01,167114200000.0
2002-01-01,161268400000.0
2002-04-01,165135700000.0
2002-07-01,166087700000.0
2002-10-01,170044300000.0
2003-01-01,173957000000.0
2003-04-01,172380200000.0
2003-07-01,173808300000.0
2003-10-01,179520500000.0
2004-01-01,182049400000.0
2004-04-01,185738600000.0
2004-07-01,189755100000.0
2004-10-01,190528600000.0
2005-01-01,187173700000.0
2005-04-01,196337500000.0
2005-07-01,201365700000.0
2005-10-01,209755900000.0
2006-01-01,214969900000.0
2006-04-01,218331600000.0
2006-07-01,222645300000.0
2006-10-01,230320700000.0
2007-01-01,232344600000.0
2007-04-01,233504800000.0
2007-07-01,238621700000.0
2007-10-01,239335700000.0
2008-01-01,241902000000.0
2008-04-01,239402900000.0
2008-07-01,243806000000.0
2008-10-01,236041100000.0
2009-01-01,221924000000.0
2009-04-01,210558600000.0
2009-07-01,218294200000.0
2009-10-01,216985100000.0
2010-01-01,231109700000.0
2010-04-01,247978800000.0
2010-07-01,247383700000.0
2010-10-01,250894400000.0
2011-01-01,258087000000.0
2011-04-01,264721300000.0
2011-07-01,264751099999.99997
2011-10-01,262668500000.0
2012-01-01,263412400000.00003
2012-04-01,264126400000.00003
2012-07-01,264899900000.00003
2012-10-01,263501599999.99997
2013-01-01,265420400000.00003
2013-04-01,270091500000.0
2013-07-01,274881600000.0
2013-10-01,275119700000.0
2014-01-01,276250000000.0
2014-04-01,280772300000.0
2014-07-01,282795500000.0
2014-10-01,287734300000.0
2015-01-01,293468800000.0
2015-04-01,295075400000.0
2015-07-01,298526500000.0
2015-10-01,300698400000.0
2016-01-01,307637900000.0
2016-04-01,306537100000.0
2016-07-01,309006500000.0
2016-10-01,316652800000.0
2017-01-01,319917900000.0
2017-04-01,327474800000.0
2017-07-01,328754100000.0
2017-10-01,334644900000.0
2018-01-01,335269700000.0
2018-04-01,337411800000.0
2018-07-01,344909200000.0
2018-10-01,347289300000.0
2019-01-01,352317300000.0
2019-04-01,348895800000.0
2019-07-01,350353700000.0
2019-10-01,352525500000.0
2020-01-01,348352200000.0
2020-04-01,286768000000.0
2020-07-01,314912300000.0
2020-10-01,325920100000.0
2021-01-01,339524100000.0
2021-04-01,344224900000.0
2021-07-01,344076100000.0
2021-10-01,361361700000.0
2022-01-01,359688400000.0
2022-04-01,367959100000.0
2022-07-01,375753900000.0
2022-10-01,370726000000.0
